advertiser,keyword,ad_count,avg_days
,Edvoy study abroad,2,14
Study in the USA,Edvoy study abroad,1,5
KaplanPathways,Edvoy study abroad,2,2
ShowMe,US college application,1,1
collegehubkz,college admissions help,1,15
,college admissions help,1,4
,college counselor affordable,2,19
collegehubkz,college counselor affordable,2,16
university23,how to apply US university,1,17
James Cook University,how to apply US university,1,4
Queen Mary University of London,how to apply US university,1,3
caspian.university,how to apply US university,1,3
KaplanPathways,how to apply US university,3,2
KIMEP University,how to apply US university,1,1
university23,international student university guidance,1,17
,international student university guidance,1,13
SHIPA MED,international student university guidance,1,9
"""BІOГЛАЗ"" opтaлығы",international student university guidance,2,6
James Cook University,international student university guidance,1,4
EWA English Language Learning,international student university guidance,1,3
caspian.university,international student university guidance,1,3
Doro.Kazakhstan,international student university guidance,1,2
KaplanPathways,international student university guidance,3,2
KIMEP University,international student university guidance,1,1
,study abroad scholarship,2,14
Study in the USA,study abroad scholarship,1,5
KaplanPathways,study abroad scholarship,2,2
